Age,Experience,Income,ZIPCode,Family,CCAvg,Education,Mortgage,SecuritiesAccount,CDAccount,Online,CreditCard,PersonalLoan
39,15,11,94720,1,1,1,0,No,No,No,No,No
37,13,29,92121,4,0.4,2,155,No,No,Yes,No,No
50,24,22,93943,1,0.3,3,0,No,No,No,Yes,No
35,10,81,90089,3,0.6,2,104,No,No,Yes,No,No
34,9,180,93023,1,8.9,3,0,No,No,No,No,Yes
60,30,22,95054,1,1.5,3,0,No,No,Yes,Yes,No
36,11,152,95521,2,3.9,1,159,No,No,No,Yes,No
56,30,48,94539,1,2.2,3,0,No,No,Yes,Yes,No
59,35,35,93106,1,1.2,3,122,No,No,Yes,No,No
53,28,41,94801,2,0.6,3,193,No,No,No,No,No
30,6,18,91330,3,0.9,3,0,No,No,No,No,No
34,9,60,94122,3,2.3,1,0,No,No,No,No,No
57,31,52,94720,4,2.5,1,0,No,No,No,Yes,No
39,14,43,95014,3,0.7,2,153,No,No,Yes,No,No
40,16,49,92373,1,1.8,1,0,No,No,No,Yes,No
61,37,131,94720,1,2.9,1,0,No,No,Yes,No,No
42,17,32,94523,4,0,2,0,No,No,Yes,No,No
59,35,131,91360,1,3.8,1,0,No,No,Yes,Yes,No
62,36,105,95670,2,2.8,1,336,No,No,No,No,No
47,21,60,93407,3,2.1,1,0,No,No,Yes,Yes,No
42,18,115,91335,1,3.5,1,0,No,No,No,Yes,No
44,20,130,92007,1,5,1,0,No,No,No,Yes,No
28,3,135,94611,2,3.3,1,0,No,No,No,Yes,No
31,7,135,94901,4,3.8,2,0,No,Yes,Yes,Yes,Yes
58,32,12,91320,3,0.3,3,0,No,No,No,No,No
46,20,29,92220,3,0.5,2,0,No,No,No,No,No
54,30,133,93305,2,2.6,3,0,No,No,No,No,Yes
41,16,82,92507,1,4,3,0,No,No,Yes,No,No
46,22,18,91730,1,0.9,3,0,No,No,Yes,No,No
48,22,78,94305,3,1.1,1,0,No,No,Yes,No,No
65,41,51,94117,2,1.1,1,0,No,No,Yes,No,No
43,19,34,94305,3,0.6,2,0,No,No,No,No,No
38,12,48,95617,4,0.2,3,0,No,No,Yes,No,No
41,15,80,95014,1,5.2,1,0,No,No,No,No,No
54,28,161,92121,1,2.9,1,0,No,No,Yes,No,No
43,18,22,95670,2,0.3,2,0,No,No,Yes,No,No
56,32,38,93311,4,1.3,1,166,No,No,Yes,Yes,No
41,14,9,91330,3,1,2,0,No,No,No,No,No
62,38,45,94143,4,1.3,2,0,No,No,Yes,No,No
54,29,35,92831,1,1.5,2,0,No,No,Yes,No,No
52,26,38,91711,3,0.9,3,0,No,No,Yes,No,No
58,32,73,94523,2,0.7,2,0,No,No,Yes,Yes,No
60,35,80,91301,3,0.5,1,0,No,No,Yes,No,No
31,5,115,92096,2,1.3,1,101,No,No,Yes,Yes,No
34,8,82,92646,1,2.7,2,251,No,No,Yes,No,No
41,16,70,92131,3,0.5,3,0,No,No,No,Yes,No
58,34,149,93720,4,7.2,2,0,No,Yes,Yes,Yes,Yes
30,4,39,90245,3,1.1,2,0,No,No,Yes,No,No
58,33,45,93010,4,2.1,1,0,No,No,Yes,Yes,No
51,25,31,90245,2,0.4,3,161,No,No,Yes,Yes,No
35,11,58,95831,3,2,1,149,No,No,Yes,Yes,No
33,9,48,91770,1,2.1,3,0,No,No,No,Yes,No
49,23,70,92093,2,1.5,2,0,No,No,No,No,No
59,35,124,90007,1,7.4,1,0,No,No,No,Yes,No
26,0,132,92834,3,6.5,3,0,No,No,No,Yes,Yes
54,29,58,92612,4,1.3,3,0,No,No,No,No,No
26,0,15,92131,4,0.4,1,0,No,No,No,Yes,No
41,17,83,94025,4,2.67,1,0,No,No,Yes,Yes,No
32,6,79,94720,2,1.5,3,0,No,No,Yes,Yes,No
29,0,134,95819,4,6.5,3,0,No,No,No,No,Yes
61,35,80,95053,2,2.8,1,0,No,No,Yes,No,No
38,12,52,90036,1,2,1,0,No,No,No,No,No
25,1,21,95827,3,1,2,0,No,No,No,No,No
33,9,23,94305,3,0.9,3,0,No,No,Yes,Yes,No
50,26,13,91320,4,1,1,0,No,No,Yes,No,No
52,25,44,93111,3,1,2,135,No,No,Yes,No,No
62,37,11,91942,1,0.1,1,0,No,No,Yes,No,No
51,27,38,90401,2,1,3,164,No,No,Yes,No,No
24,0,135,95133,1,1.5,1,0,No,No,Yes,No,No
29,3,148,92173,3,4.1,1,0,No,No,Yes,No,Yes
60,36,93,92521,1,4.3,1,0,No,No,Yes,No,No
48,24,21,93118,4,0.6,1,0,No,No,Yes,Yes,No
53,29,144,92697,2,6.8,1,0,No,No,Yes,No,No
55,31,9,91345,4,0.7,1,89,No,No,Yes,No,No
32,6,29,91355,1,1.9,3,0,No,No,Yes,Yes,No
35,9,20,94609,2,1.4,3,0,No,No,Yes,Yes,No
30,3,68,94306,4,2,2,0,No,No,Yes,No,No
56,31,61,96150,2,1.9,2,105,No,No,No,No,No
34,10,71,94115,4,0.1,2,0,No,No,No,No,No
40,16,73,94110,4,2.67,1,0,No,No,Yes,Yes,No
27,3,125,95521,2,0.6,1,0,No,No,No,No,No
45,19,83,95051,2,1.7,2,0,No,No,Yes,No,No
52,27,58,94305,4,1.8,3,91,No,No,No,No,No
24,-1,39,94085,2,1.7,2,0,No,No,No,No,No
35,10,61,94304,4,2.1,3,0,No,No,Yes,No,No
62,37,58,91320,4,1.7,1,0,No,No,Yes,No,No
38,8,71,94720,4,1.8,3,0,No,No,Yes,No,No
62,38,83,92521,1,1.8,3,0,No,No,Yes,No,No
28,3,52,94112,4,1.7,2,0,No,No,No,No,No
41,17,78,94025,4,0.8,1,78,No,No,Yes,No,No
38,14,60,94025,2,0.6,3,0,No,No,Yes,Yes,No
55,29,99,92121,2,1.4,1,264,No,No,Yes,Yes,No
26,1,55,90089,3,2.6,3,113,No,No,No,Yes,No
54,28,170,92182,2,6.2,2,325,No,No,Yes,No,Yes
65,40,53,91711,3,2.2,1,0,No,No,No,Yes,No
47,21,138,94583,1,0,1,0,No,No,No,No,No
66,40,42,92103,2,0.7,3,138,No,No,No,Yes,No
66,41,18,92691,3,0.5,1,0,No,No,No,Yes,No
42,16,111,93106,2,1.2,3,251,No,No,Yes,No,Yes
27,1,74,92121,4,1.8,2,112,No,No,Yes,Yes,No
45,19,38,90840,2,0.7,1,0,No,No,No,No,No
64,39,129,94002,1,2.5,1,0,No,No,Yes,No,No
60,36,63,94063,4,2.2,1,0,No,No,Yes,No,No
40,14,70,94923,4,1.4,2,0,No,No,Yes,No,No
41,16,65,90095,3,0.5,3,0,No,No,Yes,No,No
29,2,30,92126,4,1,3,0,No,No,No,No,No
39,14,155,94577,2,3.9,1,0,No,No,Yes,No,No
57,31,65,94118,4,2.6,3,0,No,No,No,Yes,No
34,9,71,91711,4,0.7,3,0,No,No,Yes,No,No
44,19,69,92806,3,0.5,3,0,No,No,Yes,No,No
51,25,45,94806,3,0.6,2,131,No,No,Yes,No,No
42,15,24,92121,3,1,2,0,No,No,Yes,Yes,No
51,25,80,92373,1,4.9,1,0,No,No,No,No,No
45,19,93,90095,4,2.6,3,0,No,No,No,No,No
55,29,79,92373,3,0.8,1,0,No,No,Yes,Yes,No
42,18,33,90401,1,1.4,3,0,No,No,Yes,No,No
57,32,39,90277,4,0.9,1,0,No,No,Yes,Yes,No
34,9,41,93720,3,2.3,1,0,No,No,No,Yes,No
52,27,80,95616,1,1.3,3,0,No,Yes,Yes,Yes,No
28,4,191,90064,1,6.33,1,0,No,No,Yes,No,No
54,30,78,92374,4,1,2,0,No,No,Yes,No,No
59,33,42,95630,1,0.8,2,0,No,No,Yes,No,No
63,38,140,92407,1,2.5,1,0,No,No,No,No,No
57,27,68,94117,1,1.4,3,0,No,No,Yes,No,No
43,19,118,91304,2,3.3,1,0,No,No,No,Yes,No
35,5,22,93407,1,0.67,3,103,No,No,No,No,No
54,24,63,92606,3,1.4,3,138,No,No,Yes,Yes,No
44,19,50,90745,3,2.7,2,0,No,No,Yes,No,No
40,15,173,95060,4,6.6,1,0,No,Yes,Yes,Yes,Yes
53,29,55,95818,4,1.1,2,0,No,No,Yes,No,No
44,20,173,90277,2,1.4,1,419,No,No,Yes,No,No
56,30,24,94704,2,0.4,3,88,No,No,No,No,No
38,14,42,94610,1,2,2,81,No,No,Yes,No,No
32,6,32,93106,1,1.9,3,0,No,No,Yes,No,No
25,0,30,92691,2,1.7,2,0,No,No,No,No,No
50,24,35,92717,1,0.3,3,0,No,No,Yes,No,No
32,8,98,95054,2,2,2,175,No,No,Yes,No,No
63,37,30,92054,2,1,3,159,No,No,Yes,No,No
36,12,25,92101,4,1,1,147,No,No,No,No,No
58,34,19,92029,4,0.7,1,0,No,No,No,No,No
49,25,20,90291,4,1,1,111,No,No,Yes,Yes,No
33,7,90,92346,3,1.6,1,0,No,No,Yes,No,No
45,21,61,94304,3,0.7,1,0,No,No,No,No,No
25,0,28,92093,2,1.7,2,0,No,No,No,No,No
55,29,73,95616,2,2.3,3,0,No,No,Yes,Yes,No
60,35,64,94509,2,2.8,1,0,No,No,No,No,No
50,24,29,93023,4,0.1,1,0,No,No,No,No,No
26,2,48,90503,3,0.7,2,0,No,No,Yes,No,No
54,30,23,94608,2,0.4,1,0,No,No,No,No,No
28,3,84,90024,4,0.2,1,0,No,No,Yes,Yes,No
36,10,179,94542,3,6.6,1,0,No,No,Yes,No,Yes
29,2,30,95747,4,1.5,2,112,No,No,No,Yes,No
61,36,60,92866,3,0.5,2,182,No,No,No,No,No
45,19,125,92354,1,2.4,1,0,No,No,No,No,No
64,40,58,93437,1,1.8,3,0,No,No,Yes,No,No
60,36,89,91745,2,2.8,1,0,No,No,Yes,No,No
47,23,110,94111,2,3.3,1,0,No,No,Yes,Yes,No
52,28,41,94309,3,1.9,2,0,No,No,No,Yes,No
40,15,85,94304,2,0.4,1,0,No,No,Yes,No,No
53,29,83,90073,4,1,2,0,No,No,Yes,No,No
47,22,58,93105,4,3.6,3,0,No,No,Yes,Yes,No
42,18,75,92182,3,2.33,1,0,No,No,No,Yes,No
32,7,35,92521,3,1.3,1,116,No,No,No,Yes,No
43,17,91,91311,1,5.7,1,0,No,No,Yes,No,No
30,6,45,95819,1,1.8,2,0,No,No,Yes,No,No
52,26,80,94709,3,0.8,1,0,No,No,No,No,No
61,35,50,92122,3,1.4,3,112,No,No,Yes,No,No
58,32,113,93943,2,3.8,2,119,No,Yes,Yes,Yes,Yes
64,39,59,92626,2,1.5,1,139,No,No,Yes,No,No
64,40,91,93106,2,0,3,0,No,No,Yes,Yes,No
47,23,22,93108,1,1,1,0,No,No,No,Yes,No
51,25,69,95747,1,0.3,1,0,No,No,Yes,Yes,No
28,-2,48,94132,2,1.75,3,89,No,No,Yes,No,No
64,39,42,92068,3,0.5,2,116,No,No,Yes,No,No
48,24,20,95841,1,1,1,0,No,No,Yes,Yes,No
60,36,141,90277,2,2.1,1,0,No,No,Yes,Yes,No
66,42,35,94305,1,1.9,2,172,No,No,Yes,No,No
45,20,39,90232,1,2.4,1,0,No,No,No,Yes,No
34,10,21,92634,1,0.5,3,0,No,No,Yes,No,No
48,23,10,94609,2,0.7,3,0,No,No,Yes,Yes,No
60,34,114,90028,2,6.9,1,0,No,No,Yes,No,No
43,19,152,92008,3,6.1,2,0,No,No,No,No,Yes
64,39,24,95112,4,0.4,2,78,No,No,Yes,No,No
60,36,132,92154,2,6,1,470,No,No,Yes,Yes,No
56,32,173,94022,1,4.6,2,88,No,Yes,Yes,No,Yes
60,34,15,95014,1,0.8,2,0,No,No,Yes,No,No
37,13,43,94122,3,2.8,1,0,No,No,Yes,No,No
60,36,38,94596,4,1.3,1,0,No,No,Yes,No,No
50,24,173,94720,1,1,1,0,No,No,Yes,Yes,No
32,8,43,95023,1,2.1,3,0,No,No,No,Yes,No
50,25,42,93108,3,1.7,2,0,No,No,Yes,No,No
59,33,34,92177,2,0.3,1,0,No,No,No,No,No
50,26,39,90640,3,1.9,2,0,No,No,Yes,No,No
44,19,70,92833,1,0.1,2,0,No,No,No,No,No
36,12,69,94305,3,3.1,2,0,No,No,Yes,No,Yes
51,25,44,94608,3,0.9,3,0,No,No,No,No,No
64,40,32,91380,3,0.1,3,0,No,No,Yes,No,No
47,22,15,95521,2,0.7,3,0,No,No,No,No,No
31,5,82,94143,4,2.2,2,0,No,No,No,No,No
39,14,54,95035,3,3,1,108,No,No,No,Yes,No
30,6,48,94607,1,2.1,3,0,No,No,No,No,No
27,1,74,91730,3,0.3,3,0,No,No,Yes,No,No
53,27,81,90009,3,1.7,2,0,No,No,No,No,No
34,9,48,95616,1,2.5,3,105,No,No,Yes,No,No
61,37,54,90024,4,1.2,2,129,No,No,Yes,Yes,No
48,24,75,92518,4,1.4,2,0,No,No,Yes,No,No
56,31,39,93023,4,0.9,1,0,No,No,No,No,No
24,-1,75,93014,4,0.2,1,0,No,No,Yes,No,No
64,38,79,94024,2,2.8,1,179,No,No,No,No,No
62,37,39,94305,2,2.8,1,113,No,Yes,Yes,Yes,No
27,2,101,92807,1,1.9,1,0,No,No,No,No,No
51,25,132,94143,1,0.3,1,0,No,No,Yes,No,No
44,20,131,90717,1,4.9,3,0,No,No,Yes,No,Yes
31,5,11,94534,1,0.4,2,76,No,No,No,Yes,No
30,6,141,95014,2,4.33,1,0,No,No,No,No,No
40,14,81,94709,3,0.1,1,0,No,No,Yes,No,No
60,34,54,94301,3,0.3,2,0,No,No,Yes,Yes,No
28,3,52,90024,4,2.2,1,230,No,No,Yes,No,No
52,28,101,91330,2,0.3,1,0,No,No,No,No,No
34,8,35,92037,4,0.8,1,137,No,Yes,Yes,Yes,No
43,18,59,93943,1,3.7,3,0,No,No,Yes,No,No
55,29,79,90210,3,0.8,1,0,No,No,Yes,No,No
39,15,128,92333,1,3.4,1,0,No,No,No,No,No
29,5,80,94709,2,2,2,0,No,No,Yes,Yes,No
54,30,93,91107,1,2.7,2,0,No,No,Yes,No,No
25,-1,48,92870,3,0.3,3,0,No,No,No,Yes,No
57,33,88,93524,1,2.7,2,0,No,No,Yes,No,No
28,3,55,94521,4,2.2,1,0,No,No,Yes,Yes,No
24,-1,38,95045,2,1.7,2,0,No,No,Yes,No,No
40,16,114,91604,1,3.4,1,300,No,No,Yes,No,No
34,4,83,92653,4,4,3,0,No,No,Yes,No,No
39,14,101,94305,2,0.4,1,0,No,No,Yes,Yes,No
31,7,128,92821,1,6,1,0,No,No,No,No,No
29,3,39,94612,4,2.1,3,0,No,No,Yes,No,No
48,22,152,94022,1,3.5,3,0,No,No,Yes,No,Yes
56,30,141,94143,2,0.5,1,0,No,No,Yes,No,No
58,32,38,91320,1,1.4,1,0,No,No,Yes,Yes,No
63,38,28,94720,2,0.5,2,89,No,No,Yes,No,No
57,31,41,91330,1,0.2,1,0,No,No,Yes,Yes,No
28,3,170,95014,1,0.1,3,0,No,No,No,No,Yes
37,11,24,91770,4,1.5,3,0,No,No,No,No,No
52,28,81,94132,3,1.8,2,275,No,No,No,No,No
49,23,32,94701,4,1.8,1,83,No,No,No,No,No
40,14,33,94025,2,1.4,3,0,No,No,Yes,Yes,No
41,17,114,91125,2,1.8,2,0,No,No,Yes,No,No
41,17,92,93555,2,1.9,1,131,No,No,Yes,No,No
33,6,54,92821,2,1.67,2,122,No,No,Yes,No,No
52,28,64,95605,2,1,3,211,No,No,Yes,No,No
30,6,42,94305,1,0.2,3,100,No,No,No,Yes,No
45,19,70,92677,3,2.1,1,0,No,No,Yes,No,No
45,18,40,94960,3,1,2,0,No,No,Yes,No,No
60,35,35,90509,3,0.2,1,169,No,No,Yes,No,No
40,16,120,92037,2,6.1,1,196,No,No,Yes,No,No
42,16,35,92054,3,1.5,1,0,No,No,No,No,No
35,10,139,95060,2,7.8,1,0,No,No,No,No,No
50,24,103,94132,1,0.3,1,0,No,No,Yes,No,No
45,21,152,91902,2,1.4,1,0,No,No,Yes,No,No
52,27,33,92121,2,2,2,0,No,No,Yes,No,No
35,9,84,95120,4,2.2,2,322,No,No,No,No,No
28,4,58,92121,3,1.5,1,131,No,No,No,No,No
34,9,92,90005,1,2.8,1,0,No,No,Yes,No,No
38,8,23,95207,1,0.67,3,0,No,No,No,No,No
63,38,52,94720,2,2.8,1,0,No,No,Yes,No,No
65,41,185,93561,3,2,2,0,No,No,No,No,Yes
54,30,64,95126,1,1.8,3,227,No,No,No,Yes,No
34,10,22,95670,1,0.5,3,85,No,No,No,No,No
49,23,59,95827,3,2.1,1,0,No,No,No,No,No
46,21,204,92780,2,2.8,1,0,No,No,Yes,No,No
61,36,51,94706,3,1.5,1,0,No,No,No,Yes,No
40,16,82,91311,1,3.6,2,0,No,No,No,No,No
43,17,164,90266,1,2.4,1,449,No,No,Yes,No,No
24,-1,38,92612,4,0.6,2,0,No,No,Yes,No,No
37,11,84,90089,2,1.8,1,0,No,No,Yes,Yes,No
43,17,59,94085,3,0.9,3,87,No,No,Yes,Yes,No
41,16,10,94123,2,0.3,2,0,No,No,Yes,No,No
29,5,31,96064,4,0.4,2,161,No,No,Yes,Yes,No
59,34,94,93940,3,0.5,1,0,No,No,No,Yes,No
50,24,61,94301,4,2.6,1,0,No,No,Yes,No,No
62,37,18,92037,3,1.3,2,0,No,No,Yes,No,No
45,20,114,94720,2,4.4,2,0,No,No,No,No,Yes
26,1,85,90064,1,1.9,1,0,No,No,Yes,No,No
61,35,152,91016,3,3.3,3,0,No,No,Yes,No,Yes
36,10,80,94596,4,2.2,2,0,No,No,Yes,No,No
61,37,22,94590,1,1.2,3,0,No,No,Yes,No,No
41,17,14,91330,1,1,1,0,No,No,No,No,No
58,34,60,92008,4,1.6,2,0,No,No,No,Yes,No
56,30,45,91103,4,0.7,2,0,No,No,No,Yes,No
48,24,84,92152,3,0.7,1,166,No,No,Yes,No,No
32,6,85,90504,1,2.7,2,100,No,No,Yes,No,No
37,13,89,95051,2,1.7,2,314,No,No,No,Yes,No
47,21,109,95822,4,1.8,1,0,No,No,No,No,Yes
37,12,81,94538,1,2.8,1,0,No,No,No,No,No
43,19,72,90024,2,1.7,1,0,No,No,Yes,No,No
26,2,172,94551,2,6.9,2,0,No,No,Yes,No,Yes
55,29,39,92154,1,0.2,1,0,No,No,No,Yes,No
55,31,12,95060,2,0.2,1,76,No,No,Yes,Yes,No
32,7,42,92634,4,0.8,1,0,No,No,Yes,Yes,No
48,22,98,94115,2,6.3,1,0,No,No,No,No,No
58,34,10,92521,4,0.7,1,0,No,No,No,No,No
55,30,58,92028,4,0.9,1,0,No,No,Yes,Yes,No
55,29,65,94501,4,2.8,2,0,No,No,Yes,No,No
54,29,44,91301,2,2.3,3,0,No,No,Yes,No,No
30,6,82,93657,2,2.5,1,0,No,No,No,No,No
42,17,61,94998,3,0.5,3,0,No,No,Yes,No,No
29,2,38,93063,1,2,2,0,No,No,No,No,No
29,3,39,95051,4,2.1,3,0,No,No,Yes,No,No
47,23,8,92612,4,0.2,1,0,No,No,Yes,No,No
52,27,162,92096,1,8.1,1,0,No,No,Yes,No,No
64,39,64,92068,3,2.2,1,0,No,No,Yes,No,No
32,6,41,92182,2,2,3,0,No,No,No,No,No
63,33,52,94720,4,1.67,3,0,No,No,No,No,No
41,15,38,90291,2,0.7,1,91,No,No,Yes,No,No
51,25,145,90740,1,0.3,1,0,No,No,Yes,No,No
35,9,45,90509,1,2,1,0,No,No,Yes,Yes,No
63,37,45,94542,2,1,3,88,No,No,Yes,Yes,No
29,5,72,92407,3,0.7,2,81,No,No,No,No,No
61,31,49,94066,4,1.67,3,0,No,No,Yes,No,No
36,10,31,90630,4,1.2,2,0,No,No,No,No,No
58,33,142,92691,2,3.9,1,193,No,No,Yes,Yes,No
30,4,24,92096,1,0.4,2,81,No,No,Yes,No,No
27,3,94,92373,2,0.2,1,310,No,No,No,Yes,No
44,17,29,94706,3,1,2,0,No,No,Yes,Yes,No
40,14,73,94539,1,1.5,3,252,No,No,Yes,No,No
46,20,39,95054,1,0.2,1,0,No,No,No,No,No
33,7,29,92064,1,0.6,3,127,No,No,No,Yes,No
27,2,155,95138,1,0.8,1,0,No,No,No,No,No
50,23,15,94025,2,1,2,101,No,No,No,No,No
54,30,70,90095,1,1.6,3,265,No,No,No,No,No
28,2,10,94080,1,0.1,2,0,No,No,Yes,No,No
60,34,22,92037,3,0.3,3,139,No,No,Yes,Yes,No
44,20,70,94611,4,1.9,1,0,No,No,Yes,No,No
43,19,35,92106,3,0.5,1,0,No,No,Yes,No,No
32,7,44,90095,4,0.8,1,0,No,No,Yes,No,No
30,4,40,92056,4,2.1,3,0,No,No,Yes,Yes,No
61,36,21,95616,4,0.4,2,123,No,No,No,No,No
33,3,74,95616,4,4,3,0,No,No,No,No,No
63,37,84,91768,4,1.9,2,0,No,No,Yes,No,No
57,31,58,91604,1,0.2,1,177,No,No,Yes,No,No
44,19,154,92116,2,8.8,1,0,No,No,Yes,No,No
51,26,78,92703,1,1.2,1,305,No,No,Yes,No,No
55,29,29,92780,4,1.5,3,79,No,No,Yes,No,No
38,12,53,95616,2,2.4,2,0,No,No,Yes,No,No
62,37,21,92691,4,0.4,2,137,No,No,Yes,Yes,No
57,32,63,94111,4,0.7,1,0,No,No,Yes,No,No
57,33,24,95616,4,0.7,1,0,No,No,Yes,No,No
57,33,95,95054,2,1.6,1,0,No,No,No,No,No
46,22,28,94720,1,1,1,84,No,No,Yes,Yes,No
64,40,15,91711,2,0.3,3,115,No,No,Yes,Yes,No
23,-1,149,91709,1,6.33,1,305,No,No,No,Yes,No
47,21,68,94538,4,2.6,3,0,No,No,No,No,No
41,16,64,92325,3,0.5,3,0,No,No,No,No,No
31,5,91,92096,3,1.6,1,126,No,No,Yes,Yes,No
55,30,28,95123,1,1.5,2,0,No,No,No,No,No
42,18,31,94720,1,0.3,3,0,No,No,No,Yes,No
56,32,8,93943,2,0.3,1,0,No,No,Yes,Yes,No
61,36,193,94303,1,4.7,3,203,No,No,Yes,No,Yes
38,13,129,92093,4,4.4,1,140,No,No,No,No,Yes
30,4,80,94701,4,1.8,2,0,No,No,No,No,No
41,15,22,90503,4,1.5,3,0,No,No,No,Yes,No
55,29,60,94305,3,2.2,3,84,No,No,Yes,No,No
32,6,112,95054,4,1.8,2,0,No,No,Yes,No,No
59,35,14,90840,4,0.7,1,0,No,No,Yes,No,No
46,22,144,93611,2,3.3,1,0,No,No,Yes,Yes,No
39,14,24,94305,2,0.3,2,0,No,No,No,No,No
62,36,135,94301,2,5.2,2,0,No,No,Yes,No,Yes
57,32,75,94928,2,3.7,1,236,No,No,Yes,No,No
40,16,50,92093,2,1.7,1,174,No,No,No,No,No
63,38,54,90401,3,2.2,1,0,No,No,Yes,No,No
63,38,83,92122,2,3.4,1,0,No,No,No,No,Yes
54,30,45,95134,4,1.1,2,205,No,No,Yes,No,No
38,13,114,92697,1,1,3,0,No,No,Yes,Yes,No
50,25,15,92173,1,0.4,3,0,No,No,No,No,No
34,10,81,94002,4,3.4,1,0,No,No,Yes,No,No
57,32,55,90717,4,2.1,1,108,No,No,Yes,No,No
44,19,99,95064,3,3.5,3,357,No,No,No,No,Yes
28,3,25,91330,2,0.9,3,140,No,No,Yes,No,No
50,26,192,90245,2,1.8,3,301,No,Yes,Yes,Yes,Yes
29,3,30,91745,4,0.3,2,157,No,No,No,No,No
54,29,29,90071,1,1.5,2,97,No,No,Yes,No,No
35,8,41,92612,2,1,2,0,No,No,Yes,Yes,No
58,33,122,93711,4,0.2,2,0,No,Yes,Yes,No,Yes
62,37,50,94545,3,1.5,1,169,No,No,Yes,No,No
28,4,43,95616,3,0.1,2,0,No,No,Yes,No,No
61,35,112,90024,4,1.7,3,0,No,No,No,Yes,No
56,32,25,95403,1,0.1,2,136,No,No,Yes,No,No
37,12,42,94720,3,0.7,2,0,No,No,Yes,Yes,No
36,6,78,91107,4,1.8,3,163,No,No,No,No,No
64,34,50,95616,4,1.67,3,0,No,No,Yes,No,No
49,24,79,95827,1,0.2,2,83,No,No,Yes,Yes,No
51,26,34,94105,4,0.4,2,0,No,No,No,No,No
35,10,23,94501,4,0.2,3,0,No,No,Yes,No,No
53,27,145,90095,2,6.1,3,294,No,Yes,Yes,Yes,Yes
43,17,49,95812,3,2.2,2,103,No,No,Yes,Yes,No
59,34,24,94105,2,0.2,3,86,No,No,Yes,No,No
47,22,33,91105,1,1.4,3,0,No,No,Yes,No,No
47,21,83,92220,1,3.8,1,97,No,No,No,No,Yes
56,30,39,90024,3,1.4,1,131,No,No,No,Yes,No
41,17,138,95008,3,6.9,2,0,No,No,Yes,No,Yes
39,14,61,94005,3,0.5,3,137,No,No,Yes,No,No
